,Task_name,Task_description,Task_label,Task_priority,Sprint_number,Planned_estimate,Actual_estimate,Optimistic,Most_likely,Pessimistic,Weighted_average,Standard_deviation,Risk_factor,Standard_confidence,High_confidence,Higher_confidence,Highest_confidence,Final_estimate,Variance,Ai_estimate
42,"As Patrick, I want to be able to delete a version",- allow for a version to be deleted - warn if other issues are assigned to it already - what permissions do we need for that action (TODO: team input here),EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
43,"Receive, verify and test network equipment",,EST_BE,Medium,INT Sprint 1,8,8,7,8,9,8.0,0.33,0.04,8.0,8.17,8.42,8.77,8,2209,8
44,IllegalStateException on single node shutdown,"Upon shutdown via ^C, an IllegalStateException stack trace appears in the server logs. While harmless, the traces are annoying and should be prevented.",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
45,Add deprecate warning to get_context_instance() function,Add deprecate warning to get_context_instance() function,EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
46,BE-Add client,,EST_BE,Medium,ET Sprint 2,16,24,16,16,17,16.17,0.17,0.01,16.17,16.26,16.39,16.57,16,7396,8
47,Update spring-data-hadoop dependency and add new Hadoop distros,Update to Spring for Apache Hadoop 2.0 RC3 Add support for new hadoop distros:  - Pivotal HD 2.0 (phd20) - Hortonworks HDP 2.1 (hdp21) - Cloudera CDH5 (cdh5),EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
48,Creation of database,,EST_BE,Medium,ET Sprint 1,8,8,8,8,10,8.33,0.33,0.04,8.33,8.5,8.75,9.1,8,2704,8
49,Windows: blur is not supported on Windows warning.,"*app.js*      {code:java}  // create tab group  var tabGroup = Titanium.UI.createTabGroup();    //  // create base UI tab and root window  //  var win1 = Titanium.UI.createWindow({      title: 'Tab 1',      backgroundColor: '#fff'  });  var tab1 = Titanium.UI.createTab({      icon: 'KS_nav_views.png',      title: 'Tab 1',      window: win1  });    var label1 = Titanium.UI.createLabel({      color: '#999',      text: 'I am Window 1',      font: { fontSize: 20, fontFamily: 'Helvetica Neue' },      textAlign: 'center',      width: 'auto'  });    win1.add(label1);    //  // create controls tab and root window  //  var win2 = Titanium.UI.createWindow({      title: 'Tab 2',      backgroundColor: '#fff'  });  var tab2 = Titanium.UI.createTab({      icon: 'KS_nav_ui.png',      title: 'Tab 2',      window: win2  });    var label2 = Titanium.UI.createLabel({      color: '#999',      text: 'I am Window 2',      font: { fontSize: 20, fontFamily: 'Helvetica Neue' },      textAlign: 'center',      width: 'auto'  });    win2.add(label2);    //  //  add tabs  //  tabGroup.addTab(tab1);  tabGroup.addTab(tab2);    // open tab group  tabGroup.open();  {code}      *Steps to reproduce:*   # Create a new project with the ENV and app.js above  # Run the application  # Switch between the tabs    *Actual :*  A warning is shown     {code:javascript}  [WARN] :   blur() is not supported on Windows  {code}      *Expected:*  No warning is shown. ",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
50,Replace StringBuffer with StringBuilder whenever possible,"Because Mule started on the JDK 1.4 era, there're a lot of uses of StringBuffer. In most cases, there's no need for the contention that it generates and it should be replaced with StringBuilder",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
51,Alloy: Updates: add Alloy update stream release notes docs,Include standard documentation for alloy release notes as with the sdk.    See screenshots.    Steps to Reproduce:    1. Uninstall alloy or have an old version of alloy.  2. Check for Titanium updates.    Actual Result:    Documentation is minimal.    Expected Result:    alloy release notes should be same quality as sdk release notes.,EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
52,Android: Fix AVD naming scheme,"{html}<div><p>The current script for naming AVDs is based on the download order of the emulators. For instance if you download API 4 and API 8 and run the API 8 emulator. Then later you download the Google API emulator 4. It will launch the API 8 emulator.</p> <p>If possible, we should also try and detect that the problem exists in their environment and fix the AVDs name to the new solution based on the contents of the AVD configuration file.</p></div>{html}",EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
53,shorten internal names in zookeeper,rename DATABASE_PARTITIONING to PARTITIONING  rename DATABASES to DBS,EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
54,Move butler from daf_persistence to daf_butler,,EST_BE,Medium,INT Sprint 1,12,12,11,12,13,12.0,0.33,0.03,12.0,12.17,12.42,12.77,12,4489,8
55,HSC backport: allow photometric and astrometric calibrations to be required,"This is a port of the standalone changesets:  [calibrate: make astrometry failures non-fatal|https://github.com/HyperSuprime-Cam/pipe_tasks/commit/e9db5c0dcdca20e8f7ba71f24f8b797e71699352]  [fixup! calibrate: make astrometry failures non-fatal|https://github.com/HyperSuprime-Cam/pipe_tasks/commit/c2d89396923f9d589822c043ed8753647e70f3f6]  (the above is a fixup, so will likely be squashed)  [make failure to match sources non-fatal|https://github.com/HyperSuprime-Cam/pipe_tasks/commit/cf5724b852937cfcef1b71b7a372552011fda670]  [calibrate: restore original Wcs after initial astrometry solution|https://github.com/HyperSuprime-Cam/pipe_tasks/commit/ab6cb9e206d0456dc764c5ef78ac80ece937c610]  [move CalibrateTask from ProcessImageTask into ProcessCcdTask|https://github.com/HyperSuprime-Cam/pipe_tasks/commit/08a8ec029dd52ac55e47b707a6905df061a40506]  [processCoadd: set detection to use the declared variances|https://github.com/HyperSuprime-Cam/pipe_tasks/commit/9e8563fd8d630dad967786387b1f27b6bc7ee039]  [adapt to removal of CalibrateTask from ProcessImageTask in pipe_tasks|https://github.com/HyperSuprime-Cam/obs_subaru/commit/52733a7ab1731a15cbb93151851f57cec276f928]  and HSC tickets:  [HSC-1085: background not saved in processCcd|https://hsc-jira.astro.princeton.edu/jira/browse/HSC-1085] and  [HSC-1086: psf - catalog scatter is very large in some coadds|https://hsc-jira.astro.princeton.edu/jira/browse/HSC-1086]",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
56,iOS8: change Ti.App.iOS event name from 'backgroundNotification' to 'localnotificationaction',"Change Ti.App.iOS event name from 'backgroundNotification' to 'localnotificationaction'.    The current name of the event does not accurately reflect the purpose of the event. Because of this, it needs to be changed to something more meaningful.    h5. Test Instructions  1. Run the code below  2. Click 'registerUserNotificationSettings' and then Allow  3. Click 'scheduleLocalNotification'  4. Background the app  5. Swipe down from the top of the device to see the notification center  6. Swipe the notification to the left and click one of the buttons  7. If 'localnotificationaction' is displayed in the device log, then the event was fired correctly    {code}  var rows = [      {          title: 'currentUserNotificationSettings',          onClick: function(){              // iOS 8 +              var settings =  Ti.App.iOS.currentUserNotificationSettings;              logUserNotificationSettings(settings);          }      },      {          title: 'registerUserNotificationSettings',          onClick: function(){              // iOS 8 +              // The following action launches the application in the foreground and requires the device to be unlocked              var acceptAction = Ti.App.iOS.createUserNotificationAction({                  identifier: ""ACCEPT_IDENTIFIER"",                  title: ""Accept"",                  activationMode: Ti.App.iOS.USER_NOTIFICATION_ACTIVATION_MODE_FOREGROUND,                  destructive: false,                  authenticationRequired: true              });                 var foregroundCategory = Ti.App.iOS.createUserNotificationCategory({                  identifier: ""FOREGROUND_CATEGORY"",                  // The following actions will be displayed for an alert dialog                  actionsForDefaultContext: [acceptAction],                  // The following actions will be displayed for all other notifications                  actionsForMinimalContext: [acceptAction]              });                 Ti.App.iOS.registerUserNotificationSettings({                  types: [Ti.App.iOS.USER_NOTIFICATION_TYPE_ALERT,                          // Ti.App.iOS.USER_NOTIFICATION_TYPE_SOUND,                          Ti.App.iOS.USER_NOTIFICATION_TYPE_BADGE],                  categories: [foregroundCategory]              });          }      },      {          title: 'scheduleLocalNotification',          onClick: function(){              Ti.App.iOS.scheduleLocalNotification({                  date: new Date(new Date().getTime() + 3000),                  alertBody: ""New content available! Download now?"",                  badge: 1,                  userInfo: {""url"": ""http://www.download.com/resource/asset.json""},                  category: ""FOREGROUND_CATEGORY""              });          }      }  ];     function logInApp(text) {      textLog.value = textLog.value + '\n' + text;  }     function logUserNotificationSettings(settings) {      logInApp('UserNotificationSettings: ');      logInApp('types: ' + JSON.stringify(settings.types));      var categories = [];      for (var i = 0, j = settings.categories.length; i < j; i++) {          categories.push(settings.categories[i].identifier);      }      logInApp('categories: ' + JSON.stringify(categories));  }     Ti.App.iOS.addEventListener('usernotificationsettings', function(e) {      logInApp('Event: usernotificationsettings');      logUserNotificationSettings(e);  });    Ti.App.iOS.addEventListener('localnotificationaction', function(e) {      logInApp('localnotificationaction');      logInApp('- category: ' + e.category + ' identifier: ' + e.identifier);  });     ////////////////////////////////////////////////////////  // UI  ////////////////////////////////////////////////////////  var win = Ti.UI.createWindow({      backgroundColor: 'white'  });  win.open();     var textLog = Ti.UI.createTextArea({      top: 0,      height: '20%',      width: '100%',      borderWidth: '2',      borderColor: '#000',      value: 'AppLog: see device log for more info'  });  win.add(textLog);     var tableView = Ti.UI.createTableView({      top: '20%',      data: rows  });  tableView.addEventListener('click', function(e){      e.source.onClick && e.source.onClick();  });  win.add(tableView);  {code}",EST_BE,Medium,INT Sprint 1,6,6,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
57,Research how to extend 'Trigger' interface to implement custom triggers,"As a developer, I'd like to have the option of extending the Trigger abstraction so that I can implement my own trigger.       ",EST_BE,Medium,INT Sprint 1,16,17,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
58,security plan october.,Deliverable: security plan Ephibian 10%,EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
59,Add watch to stream deployment paths,"{{DeploymentSupervisor}} will be responsible for maintaining the state data for each stream. When a stream is deployed, a watch should be created so that the supervisor can recalculate the state of a stream as modules are added/removed.",EST_BE,Medium,INT Sprint 1,20,21,19,20,21,20.0,0.33,0.02,20.0,20.17,20.42,20.77,20,11449,8
60,Test the model,,EST_AI,Medium,,2,0,2,3,3,2.83,0.17,0.06,2.83,2.92,3.05,3.23,2,256,8
61,Add Anypoint Studio version to the About message dialog,Add version to the About dialog so that it can be map to the Jira version of Studio.,EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
62,"Add ""spring-xd-exec"" directory to Git repo","Without the directory, Spring XD cannot be imported into STS using its own Gradle support.",EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
63,"Migrated report item from an ealier version(4.1.x--doesnot contain DB config in editor), the default DB config in editor is HSQL","migrate project from released 4.1.4  in 4.1.4, the report file doesn't contain DB config in it  but our current build does  if in 4.1.4 user config a Mysql or oracle as report DB  after migrate to current build, report DB config in editor will be default with HSQL  what if the user want mysql or oracle that which user deployed before ?",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
64,Set up proposed start up tools and procedure for NCSA L1 components,"If Kubernetes is the answer for startup provisioning which it is hoped to be, apply it to NCSA L1 machine startup requirements.",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
65,"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins","It is hard to test whether the administrative panel for External Database Authentication and for External Database Enrollment is configured correctly. Currently, you have to create fake user accounts or similar, and try to authenticate them or enroll them and see if they receive email, etc. (At least, that's how I tested it! Does someone have a better way?)    It woule be nice to have a ""Test Connection"" button on that page which goes through and makes sure all the db info (username, password, connection, etc.) and data mapping is correct. AND prints out all this stuff to the screen in an easy-to-read report.    Thank you!",EST_BE,Medium,INT Sprint 1,8,8,7,8,8,7.83,0.17,0.02,7.83,7.92,8.05,8.23,7,1681,8
66,The HDFS Store Library should support writing text with delimiter,"Support writing lines of text separated by a delimiter  Support writing a CSV (comma-separated variables), TSV (tab-separated variables),  No compression",EST_BE,Medium,INT Sprint 1,16,17,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
67,UI: Provide an understanable error message when users attempt to create a space with a reserved name,"This task is to add validation to the space creation action in the UI which does not allow users to attempt to create a space with a reserved name. The list of reserved names can be found here: https://wiki.duraspace.org/display/DURACLOUDDEV/DuraCloud+Administration. Currently, when a user attempts to create a space named, for example, ""task"", a big error dialog with a 405 http response message is displayed.",EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
